,English_word,French_word,Frequnecy
0,abide,respecter,1
1,about,sur,1
2,above,au dessus,1
3,abroad,à l'étranger,1
4,absence,absence,1
5,abuse,abuser de,1
6,according,selon,1
7,account,Compte,1
8,accuse,accuser,1
9,acquainted,connaissance,1
10,action,action,1
11,advantage,avantage,1
12,advice,Conseil,1
13,affairs,affaires,1
14,affection,affection,1
15,affections,affections,1
16,afraid,peur,1
17,after,après,1
18,afterwards,ensuite,1
19,again,encore,1
20,alive,vivant,1
21,almost,presque,1
22,alone,seul,1
23,along,le long de,1
24,already,déjà,1
25,although,bien que,1
26,always,toujours,1
27,ambition,ambition,1
28,ancient,ancien,1
29,angel,ange,1
30,anger,colère,1
31,another,un autre,1
32,answer,répondre,1
33,anything,n'importe quoi,1
34,apparel,vêtements,1
35,appear,apparaître,1
36,appears,apparaît,1
37,approach,approche,1
38,argument,argument,1
39,ariel,Ariel,1
40,armour,armure,1
41,aside,de côté,1
42,asleep,endormi,1
43,assure,assurer,1
44,athens,Athènes,1
45,attend,assister,1
46,attended,assisté,1
47,authority,autorité,1
48,avoid,éviter,1
49,awake,éveillé,1
50,awhile,quelque temps,1
51,banish,bannir,1
52,barren,Dénudé,1
53,bassianus,bassianus,1
54,bastard,Connard,1
55,battle,bataille,1
56,beard,barbe,1
57,bearing,palier,1
58,bears,ours,1
59,beast,la bête,1
60,beaten,battu,1
61,beauty,beauté,1
62,because,car,1
63,become,devenir,1
64,bedford,Bedford,1
65,before,avant,1
66,beggar,mendiant,1
67,begin,commencer,1
68,behalf,nom,1
69,behind,derrière,1
70,behold,voir,1
71,being,étant,1
72,believe,croyez,1
73,belike,être comme,1
74,below,au dessous de,1
75,benefit,avantage,1
76,besides,outre,1
77,betray,trahir,1
78,better,mieux,1
79,between,entre,1
80,beyond,au-delà,1
81,birth,naissance,1
82,bishop,évêque,1
83,bitter,amer,1
84,black,noir,1
85,blame,faire des reproches,1
86,bless,bénir,1
87,blessing,bénédiction,1
88,blest,heureux,1
89,blind,aveugle,1
90,blood,du sang,1
91,blows,coups,1
92,blunt,cru,1
93,blush,rougir,1
94,bodies,corps,1
95,bones,des os,1
96,borne,supporté,1
97,bottom,bas,1
98,bought,acheté,1
99,bound,lié,1
100,bounty,prime,1
101,brain,cerveau,1
102,brains,cerveaux,1
103,brave,courageux,1
104,breast,Sein,1
105,breath,souffle,1
106,breed,race,1
107,brief,bref,1
108,bright,brillant,1
109,bring,apporter,1
110,broke,cassé,1
111,brook,ruisseau,1
112,brother,frère,1
113,brought,apporté,1
114,brows,sourcils,1
115,burden,fardeau,1
116,buried,enterré,1
117,burning,brûlant,1
118,business,Entreprise,1
119,cannot,ne peux pas,1
120,capitol,Capitole,1
